Sec_Production_Company,budget,Profit,popularity
Weed Road Pictures,32500000.0,53937800.5,30.993901
Westdeutscher Rundfunk (WDR),1530000.0,5737585.0,27.36562
Wheelhouse Entertainment,75000000.0,39660784.0,19.708731
Whitaker Entertainment,80000000.0,-27900910.0,28.223664000000003
Why Not Productions,10000000.0,108587880.0,53.727146
Winkler Films,2500000.0,700000.0,5.164423
Wonderland Sound and Vision,120000000.0,139175788.0,33.616115
Working Title Films,58500000.0,43676904.0,36.022802
World 2000 Entertainment,35000000.0,40395048.0,26.595983
Yeah,150000.0,15050000.0,0.132878
Yer Dead Productions,3000000.0,-2251547.0,16.900433
platinum studios,20000000.0,-15365938.0,10.617236
verture Films,0.0,0.0,6.847133
